rep,method,n,conversion,theta0,theta1,se0,se1,moment_norm
47,Q: densidade incorreta,30000,0.059333333333333335,-0.20512423145508563,0.602721982363656,0.06867119989463243,0.06867119989463243,6.176213801485616e-11
48,CQ-DML: b e m corretos,30000,0.059166666666666666,-0.5026564670356092,-0.08498671616655787,0.0780429975509021,0.0780429975509021,2.3626915345501153e-19
48,CQ-DML: apenas m correto,30000,0.059166666666666666,-0.5420601218213534,-0.04289776234545297,0.08913920657373549,0.08913920657373549,4.774024719433855e-19
48,CQ-DML: apenas b correto,30000,0.059166666666666666,-0.4780589829092822,-0.12313923193467231,0.0635929124262836,0.06359291242628358,4.530624829676274e-19
48,CQ-DML: ambos incorretos,30000,0.059166666666666666,0.6758469991090372,-0.740513810985972,0.06636132639830675,0.06636132639830675,1.3509139249174022e-16
48,Q: densidade correta,30000,0.059166666666666666,-0.4531323695985287,-0.11877915552306469,0.06483486202643407,0.06483486202643408,1.5524766892119277e-10
48,Q: densidade incorreta,30000,0.059166666666666666,-0.327547688806471,0.7589490548188427,0.06551286954777895,0.06551286954777895,1.248375436714442e-10
49,CQ-DML: b e m corretos,30000,0.057633333333333335,-0.30664062347923143,-0.2873937926945574,0.06617068427409503,0.06617068427409503,5.030679220995234e-19
49,CQ-DML: apenas m correto,30000,0.057633333333333335,-0.34236722213322646,-0.249238967495556,0.0714861292297098,0.0714861292297098,5.101560075950932e-19
49,CQ-DML: apenas b correto,30000,0.057633333333333335,-0.33844044151778213,-0.2855704429231196,0.06028729194249681,0.060287291942496816,8.465221210952842e-17
49,CQ-DML: ambos incorretos,30000,0.057633333333333335,0.7290954893479275,-0.816397382849817,0.06827768008992327,0.06827768008992328,4.306166500471417e-16
49,Q: densidade correta,30000,0.057633333333333335,-0.3105087852252983,-0.29987231826892063,0.06859040884061307,0.06859040884061306,1.842246858111839e-10
49,Q: densidade incorreta,30000,0.057633333333333335,-0.1836490190633241,0.5819958037631685,0.0678072620272866,0.0678072620272866,2.6593613716659522e-11
50,CQ-DML: b e m corretos,30000,0.06116666666666667,-0.4039320689973684,-0.16485773985587815,0.06874019887955081,0.06874019887955081,1.18764841145487e-18
50,CQ-DML: apenas m correto,30000,0.06116666666666667,-0.39680782179567853,-0.15716993852725927,0.07331399100815647,0.07331399100815648,4.634385234887197e-18
50,CQ-DML: apenas b correto,30000,0.06116666666666667,-0.40159397284101567,-0.14390969709777202,0.059395595964907844,0.059395595964907844,1.3706895450887813e-18
50,CQ-DML: ambos incorretos,30000,0.06116666666666667,0.688120159074289,-0.6917732676183177,0.06362581279434625,0.06362581279434625,1.5735034810898909e-18
50,Q: densidade correta,30000,0.06116666666666667,-0.3863553159858398,-0.14052602625813604,0.06985066289742321,0.06985066289742323,1.188058530435101e-10
50,Q: densidade incorreta,30000,0.06116666666666667,-0.2718937470835458,0.748502243339057,0.06956499667380103,0.06956499667380103,2.780011914655068e-10
51,CQ-DML: b e m corretos,30000,0.0592,-0.3757963727904729,-0.1817959629183935,0.07196058100689907,0.07196058100689906,8.043911413016103e-19
51,CQ-DML: apenas m correto,30000,0.0592,-0.3581204251977836,-0.20540544825024534,0.07660005293023255,0.07660005293023253,9.165327793102096e-19
51,CQ-DML: apenas b correto,30000,0.0592,-0.3405999753953661,-0.2152940311949464,0.06266160855888346,0.06266160855888347,9.531690575467401e-19
51,CQ-DML: ambos incorretos,30000,0.0592,0.7779524490202382,-0.8126730571868449,0.06975284936502613,0.06975284936502613,2.9398625426792665e-18
51,Q: densidade correta,30000,0.0592,-0.3950149841038494,-0.1811403360780913,0.07287177320280494,0.07287177320280495,1.0613952277485485e-09
51,Q: densidade incorreta,30000,0.0592,-0.2586977290602918,0.7014601100257185,0.07198140817592792,0.07198140817592794,4.336784217722998e-10
52,CQ-DML: b e m corretos,30000,0.06143333333333333,-0.41483569061887066,-0.14387961374368305,0.06752490867673548,0.06752490867673548,2.79234816877452e-19
52,CQ-DML: apenas m correto,30000,0.06143333333333333,-0.3868157536884502,-0.16021931144449666,0.07078556376345217,0.07078556376345216,1.4124053724080423e-19
52,CQ-DML: apenas b correto,30000,0.06143333333333333,-0.4430112610258246,-0.10762817846618383,0.05857557021637864,0.05857557021637864,4.244416937575047e-19
52,CQ-DML: ambos incorretos,30000,0.06143333333333333,0.6416292807723787,-0.65438457113913,0.061567616969199344,0.06156761696919934,2.511772871909153e-18
52,Q: densidade correta,30000,0.06143333333333333,-0.3981748378137531,-0.13371270000165483,0.06515251741586489,0.06515251741586489,3.388778879766257e-11
52,Q: densidade incorreta,30000,0.06143333333333333,-0.2637649412757852,0.747651248860699,0.06476756300457655,0.06476756300457655,3.274389635553624e-11
53,CQ-DML: b e m corretos,30000,0.05893333333333333,-0.4698420499460146,-0.032283442325029596,0.07163989006196031,0.07163989006196031,8.165052878929521e-19
53,CQ-DML: apenas m correto,30000,0.05893333333333333,-0.45170735442682325,-0.049230533532598236,0.07590792588251385,0.07590792588251385,4.472221792408846e-18
53,CQ-DML: apenas b correto,30000,0.05893333333333333,-0.4259281374030572,-0.10316411440443887,0.05955929102939682,0.05955929102939681,8.588730421024369e-19
53,CQ-DML: ambos incorretos,30000,0.05893333333333333,0.6733512003679227,-0.6541880558820345,0.06256855714726937,0.06256855714726937,1.1611213778858158e-18
53,Q: densidade correta,30000,0.05893333333333333,-0.4823108303087985,-0.006087268334573163,0.07633266657761571,0.07633266657761571,1.294993967649473e-10
53,Q: densidade incorreta,30000,0.05893333333333333,-0.33794232678477004,0.8536352708717418,0.07663900593610334,0.07663900593610336,5.653659527412905e-12
54,CQ-DML: b e m corretos,30000,0.0602,-0.37297351022117803,-0.219509057453946,0.063486905594065,0.06348690559406502,1.3435178367803358e-18
54,CQ-DML: apenas m correto,30000,0.0602,-0.3606471707221013,-0.20927241363540383,0.06659656496407447,0.06659656496407447,1.0111449696915528e-18
54,CQ-DML: apenas b correto,30000,0.0602,-0.3923177501305506,-0.19247807365785244,0.05668944124640454,0.05668944124640455,4.849496704578849e-18
54,CQ-DML: ambos incorretos,30000,0.0602,0.6356469843043462,-0.6827556432851478,0.06140399796499888,0.06140399796499889,4.053721060328891e-18
54,Q: densidade correta,30000,0.0602,-0.36757490204530513,-0.19451005591202541,0.07164096790037747,0.07164096790037748,6.315210627829485e-11
54,Q: densidade incorreta,30000,0.0602,-0.2422243631135639,0.6911629266419921,0.07106536157227682,0.07106536157227682,7.627318527895641e-11
55,CQ-DML: b e m corretos,30000,0.06066666666666667,-0.22631124024480684,-0.2814281162660589,0.06688356487722474,0.06688356487722474,4.7130269732458365e-18
